25 orionis group;25 Orionis Gruppe
nebulae;Nebel
neptune;Neptun
new general catalogue;New General Catalogue
ngc 1398;NGC 1398
ngc 1404;NGC 1404
ngc 3532;NGC 3532
ngc 6822;NGC 6822
nicolas louis de lacaille;Nicolas Louis de Lacaille
nuclear fusion;Kernfusion
nuclear power;Atomkraft
nuclear reactions;H-II-Region
octans;Octans (Oktant)
olympus mons;Olympus Mons
ophiuchus;Ophiuchus (Schlangenträger)
orion;Orion
orion (the hunter);Orion (der Jäger)
orion nebula;Orionnebel
orion’s famous belt;Oriongürtels
parabolic antenna;Parabolantenne
paranal observatory;Paranal-Observatorium
penitentes;Penitentes
perseus;Perseus
peruvian inca conquests;Inka
petroglyphs;Petroglyphen
photons;Photonen
photosphere;Photosphäre
picture of the week;Bild der Woche
piscis austrinus;Piscis Austrinus (südlicher Fisch)
plane of our earth’s orbit;Ebene der Erdumlaufbahn
planetary nebula;planetarischer Nebel
planetesimal;Planetesimalen
pleiades;Plejaden
polarimetric;polarimetrisch
procyon;Prokyon
protoplanet;Protoplanet
protoplanetary disc;protoplanetare Scheibe
protoplanetary discs;protoplanetare Scheiben
protoplanetary nebula;Protoplanetarischer Nebel
protoplanetary phase;protoplanetaren Phase
protoplanets;Protoplaneten
protostar;Protostern
quadcopter;Quadcopter
quantum of solace;Ein Quantum Trost
quasar;Quasar
red giant star;Rote Riese
red supergiant;Rote Überriese
refracted;gebrochen
resolution;Auflösung
rosette nebula;Rosettennebel
rotation of the earth;Erddrehung
sagittarius;Sagittarius
salar de atacama;Salar de Atacama
san pedro de atacama;San Pedro de Atacama
saturn;Saturn
scattered;gestreut
scorpius;Scorpius (Skorpion)
sculptor;Sculptor (Bildhauer)
serpens;Schlange (lat. serpens)
serpens south star cluster;Serpens South Sternhaufen
seyfert galaxy;Seyfertgalaxie
sirius;Sirius
sky’s south pole;Himmelssüdpol
small magellanic cloud;Kleine Magellansche Wolke
sodium;Natrium
solar system;Sonnensystem
southern celestial pole;Himmelssüdpol
southern cross;Kreuz des Südens
spanish conquest;Eroberung durch die Spanier
spiral galaxies;Spiralnebel
spiral galaxy;Spiralnebel
spring tides;Springtiden
st julia of corsica;Julia von Corsica
star clusters;Sternhaufen
star formation;Sternentstehung
star trails;Strichspuren
star-forming region;Sternentstehungsregion
star-forming regions;Sternentstehungsregionen
stellar winds;Sonnenwinde
straight bar;Balkenspiralgalaxie
strong lensing;starker Gravitationslinseneffekt
s-type;S-Asteroiden
sub-millimetre;Submillimeter
submillimetre astronomy;Submillimeter-Astronomie
sun;Sonne
sun pillar;Lichtsäule
sunyaev-zel’dovich (sz) effect;Sunjajew-Seldowitsch-Effekt
supermassive black hole;supermassereiches Schwarzen Loch
supermoon;Supermond
supernova;Supernova
supernovae;Supernovae
taurus (the bull);Taurus (Stier)
terrestrial planets;erdähnlicher Planet
terry lovejoy;Terry Lovejoy
the ecliptic plane;Ebene der Ekliptik
the milky way;Milchstraße
the sun;unsere Sonne
transit photometry;Transitmethode
t-tauri star;T-Tauri-Stern
type la supernova;Supernova vom Typ Ia
vela;Vela (Segel des Schiffs)
venus;Venus
vlt interferometer (vlti);VLT Interferometer (VLTI)
weak gravitational lensing;schwache Gravitationslinseneffekt
william herschel;Wilhelm Herschel
wind of charged particles;Sonnenwind
yellow hypergiant;Gelber Hyperriese
zodiacal light;Zodiakallicht
